links,company,price,cpu,ram,graphic_ram,screen_size,hdd,ssd,stock_status
https://www.digikala.com/product/dkp-3558171,hp,53550000,Core i7,32,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3560176,hp,65910000,Core i7,32,6000,15.6,0,512,new
https://www.digikala.com/product/dkp-3560184,lenovo,17300000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3560363,acer,44500000,Core i7,16,6000,15.6,0,256,new
https://www.digikala.com/product/dkp-3560381,hp,66940000,Core i7,16,6000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3560435,hp,69000000,Core i7,32,6000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3560519,hp,79300000,Core i7,32,8000,15.6,0,512,new
https://www.digikala.com/product/dkp-3560599,hp,80330000,Core i7,16,8000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3560628,hp,82390000,Core i7,32,8000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3561096,hp,138890000,Xeon,32,16000,17.3,0,0,new
https://www.digikala.com/product/dkp-3561140,hp,144040000,Xeon,64,16000,17.3,0,0,new
https://www.digikala.com/product/dkp-3561183,hp,75030000,Core i7,32,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3561205,hp,80180000,Core i7,64,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3561267,hp,80180000,Core i7,32,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3561300,hp,85330000,Core i7,64,4000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3561347,hp,80180000,Core i7,32,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3561382,hp,85330000,Core i7,64,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3562375,asus,11400000,Celeron,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3574399,apple,51499000,Core i5,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3576508,lenovo,26500000,Core i7,12,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3576690,lenovo,18088000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3576805,lenovo,18700000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3576929,lenovo,19400000,Core i3,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3577499,lenovo,20600000,Core i3,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3577662,lenovo,21600000,Core i3,8,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3578465,acer,49900000,Core i7,16,6000,15.6,0,1000,new
https://www.digikala.com/product/dkp-3579693,lenovo,28990000,Core i5,8,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3579826,lenovo,44500000,Core i7,16,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3585391,acer,37900000,Core i7,8,4000,15.6,0,0,new
https://www.digikala.com/product/dkp-3585871,asus,28281000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3586861,lenovo,16800000,Core i3,8,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3587135,lenovo,16990000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3587229,lenovo,18200000,Core i3,8,2000,15.6,0,128,new
https://www.digikala.com/product/dkp-3587345,lenovo,18600000,Core i3,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3591530,apple,51499000,Core i5,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3591682,apple,56999000,Core i5,8,0,13.3,0,512,new
https://www.digikala.com/product/dkp-3591769,apple,56999000,Core i5,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3592118,apple,64499000,Core i5,8,512,13.3,0,512,new
https://www.digikala.com/product/dkp-3592197,apple,64499000,Core i5,8,0,13.3,0,512,new
https://www.digikala.com/product/dkp-3592270,apple,66499000,Core i5,8,0,13.3,0,1000,new
https://www.digikala.com/product/dkp-3592381,apple,66499000,Core i5,8,0,13.3,0,1000,new
https://www.digikala.com/product/dkp-3595009,apple,37499000,Core i3,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3595464,apple,37499000,Core i3,8,0,13.3,0,256,new
https://www.digikala.com/product/dkp-3597660,apple,46999000,Core i5,8,0,13.3,0,512,new
https://www.digikala.com/product/dkp-3597703,apple,46999000,Core i5,8,0,13.3,0,512,new
https://www.digikala.com/product/dkp-3597890,lenovo,20000000,Core i5,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3597987,lenovo,22900000,Core i5,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3598139,lenovo,24800000,Core i5,12,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3608937,lenovothinkpad,30490000,Core i7,8,2000,14,1000,0,new
https://www.digikala.com/product/dkp-3609218,lenovo,19700000,Core i3,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3609316,lenovo,21300000,Core i3,12,2000,15.6,0,0,new
https://www.digikala.com/product/dkp-3609724,lenovo,21700000,Core i5,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3610141,acer,26800000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3610485,lenovo,16600000,Core i3,4,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3611239,hp,25200000,Core i5,8,4000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3612428,lenovo,33700000,Core i7,8,2000,15.6,0,512,new
https://www.digikala.com/product/dkp-3623141,asus,11400000,Celeron,4,0,15.6,0,0,new
https://www.digikala.com/product/dkp-3628826,asus,11210000,Celeron,4,0,15.6,1000,0,new
https://www.digikala.com/product/dkp-3629341,asus,28410000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3634340,asus,31800000,Core i7,8,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3634341,asus,32800000,Core i7,12,2000,15.6,1000,0,new
https://www.digikala.com/product/dkp-3634646,asus,48600000,Core i7,16,2000,14,0,1000,new
https://www.digikala.com/product/dkp-3649668,lenovo,23300000,Core i5,12,4000,15.6,1000,0,new
